I, [2017-03-11T18:48:33.595899 #3718]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-03-11T18:48:33.596398 #3718] ERROR -- Kitchen: ------Exception-------
E, [2017-03-11T18:48:33.596434 #3718] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-03-11T18:48:33.596446 #3718] ERROR -- Kitchen: Message: Kitchen YAML file /Users/sharepointoscar/learn-chef/cookbooks/.kitchen.yml does not exist.
E, [2017-03-11T18:48:33.596456 #3718] ERROR -- Kitchen: ----------------------
E, [2017-03-11T18:48:33.596465 #3718] ERROR -- Kitchen: ------Backtrace-------
E, [2017-03-11T18:48:33.596473 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-03-11T18:48:33.596483 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-03-11T18:48:33.596492 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-03-11T18:48:33.596501 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-03-11T18:48:33.596510 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-03-11T18:48:33.596518 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-03-11T18:48:33.596527 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-03-11T18:48:33.596536 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-03-11T18:48:33.596544 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-03-11T18:48:33.596553 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-03-11T18:48:33.596562 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-03-11T18:48:33.596570 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-03-11T18:48:33.596579 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-03-11T18:48:33.596588 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-03-11T18:48:33.596597 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-03-11T18:48:33.596606 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-03-11T18:48:33.596614 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-03-11T18:48:33.596623 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-03-11T18:48:33.596630 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-03-11T18:48:33.596672 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-03-11T18:48:33.596681 #3718] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-03-11T18:48:33.596690 #3718] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-03-11T18:48:33.596698 #3718] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-03-11T18:48:33.596723 #3718] ERROR -- Kitchen: ----End Backtrace-----
